scale,field,tech_type,rd_cost,year
전체,감축,비재생에너지,197099.0,2019
전체,감축,재생에너지,1451153.0,2019
전체,감축,신에너지,98358.0,2019
전체,감축,에너지저장,2286649.0,2019
전체,감축,송배전&전력IT,190935.0,2019
전체,감축,에너지수요,2891118.0,2019
전체,감축,온실가스 고정,9010.0,2019
전체,적응,농업&축산,646582.0,2019
전체,적응,물관리,315267.0,2019
전체,융복합,감축 및 적응 융복합,119709.0,2019
전체,감축,비재생에너지,8581.0,2019
전체,감축,재생에너지,264361.0,2019
전체,감축,신에너지,56356.0,2019
전체,감축,에너지저장,39397.0,2019
전체,감축,송배전&전력IT,51398.0,2019
전체,감축,에너지수요,287370.0,2019
전체,감축,온실가스 고정,4187.0,2019
전체,적응,농업&축산,61957.0,2019
전체,적응,물관리,73334.0,2019
전체,융복합,감축 및 적응 융복합,46394.0,2019
전체,감축,비재생에너지,14939.0,2019
전체,감축,재생에너지,81060.0,2019
전체,감축,신에너지,14820.0,2019
전체,감축,에너지저장,101412.0,2019
전체,감축,송배전&전력IT,44182.0,2019
전체,감축,에너지수요,138768.0,2019
전체,감축,온실가스 고정,604.0,2019
전체,적응,농업&축산,4233.0,2019
전체,적응,물관리,49511.0,2019
전체,융복합,감축 및 적응 융복합,13997.0,2019
전체,감축,비재생에너지,19875.0,2019
전체,감축,재생에너지,430707.0,2019
전체,감축,신에너지,2903.0,2019
전체,감축,에너지저장,58708.0,2019
전체,감축,송배전&전력IT,25037.0,2019
전체,감축,에너지수요,349825.0,2019
전체,감축,온실가스 고정,2720.0,2019
전체,적응,농업&축산,6600.0,2019
전체,적응,물관리,16639.0,2019
전체,융복합,감축 및 적응 융복합,2221.0,2019
전체,감축,비재생에너지,35750.0,2019
전체,감축,재생에너지,459497.0,2019
전체,감축,신에너지,24189.0,2019
전체,감축,에너지저장,1901475.0,2019
전체,감축,송배전&전력IT,34615.0,2019
전체,감축,에너지수요,1156859.0,2019
전체,적응,농업&축산,51333.0,2019
전체,적응,물관리,3383.0,2019
전체,융복합,감축 및 적응 융복합,57050.0,2019
전체,감축,비재생에너지,117954.0,2019
전체,감축,재생에너지,215528.0,2019
전체,감축,신에너지,90.0,2019
전체,감축,에너지저장,185656.0,2019
전체,감축,송배전&전력IT,35703.0,2019
전체,감축,에너지수요,958296.0,2019
전체,감축,온실가스 고정,1500.0,2019
전체,적응,농업&축산,522459.0,2019
전체,적응,물관리,172400.0,2019
전체,융복합,감축 및 적응 융복합,47.0,2019
전체,감축,비재생에너지,91636.0,2020
전체,감축,재생에너지,1423082.0,2020
전체,감축,신에너지,185296.0,2020
전체,감축,에너지저장,1897342.0,2020
전체,감축,송배전&전력IT,563519.0,2020
전체,감축,에너지수요,2028958.0,2020
전체,감축,온실가스 고정,12833.0,2020
전체,적응,농업&축산,597242.0,2020
전체,적응,물관리,282765.0,2020
전체,적응,예측･모니터링,19374.0,2020
전체,적응,해양수산연안,594.0,2020
전체,적응,건강,74424.0,2020
전체,적응,산림육상,1138.0,2020
전체,융복합,감축 및 적응 융복합,113292.0,2020
전체,감축,비재생에너지,4011.0,2020
전체,감축,재생에너지,250806.0,2020
전체,감축,신에너지,16878.0,2020
전체,감축,에너지저장,36663.0,2020
전체,감축,송배전&전력IT,40181.0,2020
전체,감축,에너지수요,260208.0,2020
전체,감축,온실가스 고정,644.0,2020
전체,적응,농업&축산,121874.0,2020
전체,적응,물관리,99652.0,2020
전체,적응,예측･모니터링,19374.0,2020
전체,적응,해양수산연안,481.0,2020
전체,적응,건강,42276.0,2020
전체,적응,산림육상,938.0,2020
전체,융복합,감축 및 적응 융복합,48407.0,2020
전체,감축,비재생에너지,13140.0,2020
전체,감축,재생에너지,57895.0,2020
전체,감축,신에너지,23913.0,2020
전체,감축,에너지저장,53476.0,2020
전체,감축,송배전&전력IT,80978.0,2020
전체,감축,에너지수요,233190.0,2020
전체,감축,온실가스 고정,1692.0,2020
전체,적응,농업&축산,4242.0,2020
전체,적응,물관리,25282.0,2020
전체,적응,예측･모니터링,0.0,2020
전체,적응,해양수산연안,13.0,2020
전체,적응,건강,32098.0,2020
전체,적응,산림육상,200.0,2020
전체,융복합,감축 및 적응 융복합,9814.0,2020
전체,감축,비재생에너지,4798.0,2020
전체,감축,재생에너지,50559.0,2020
전체,감축,신에너지,21214.0,2020
전체,감축,에너지저장,30199.0,2020
전체,감축,송배전&전력IT,61065.0,2020
전체,감축,에너지수요,49613.0,2020
전체,적응,농업&축산,2402.0,2020
전체,적응,물관리,13795.0,2020
전체,적응,해양수산연안,100.0,2020
전체,적응,건강,50.0,2020
전체,융복합,감축 및 적응 융복합,1500.0,2020
전체,감축,비재생에너지,12000.0,2020
전체,감축,재생에너지,33633.0,2020
전체,감축,신에너지,17040.0,2020
전체,감축,에너지저장,11620.0,2020
전체,감축,송배전&전력IT,167568.0,2020
전체,감축,에너지수요,141166.0,2020
전체,감축,온실가스 고정,2234.0,2020
전체,적응,농업&축산,1663.0,2020
전체,적응,물관리,2098.0,2020
전체,적응,건강,0.0,2020
전체,융복합,감축 및 적응 융복합,259.0,2020
전체,감축,비재생에너지,2925.0,2020
전체,감축,재생에너지,373431.0,2020
전체,감축,신에너지,96145.0,2020
전체,감축,에너지저장,1653836.0,2020
전체,감축,송배전&전력IT,80868.0,2020
전체,감축,에너지수요,834127.0,2020
전체,감축,온실가스 고정,532.0,2020
전체,적응,농업&축산,25000.0,2020
전체,적응,물관리,141938.0,2020
전체,적응,건강,0.0,2020
전체,융복합,감축 및 적응 융복합,53248.0,2020
전체,감축,비재생에너지,54762.0,2020
전체,감축,재생에너지,656759.0,2020
전체,감축,신에너지,10105.0,2020
전체,감축,에너지저장,111548.0,2020
전체,감축,송배전&전력IT,132859.0,2020
전체,감축,에너지수요,510653.0,2020
전체,감축,온실가스 고정,7731.0,2020
전체,적응,농업&축산,442062.0,2020
전체,적응,물관리,0.0,2020
전체,적응,예측･모니터링,0.0,2020
전체,적응,해양수산연안,0.0,2020
전체,적응,산림육상,0.0,2020
전체,융복합,감축 및 적응 융복합,64.0,2020
전체,감축,비재생에너지,458282.0,2021
전체,감축,재생에너지,1987277.0,2021
전체,감축,신에너지,428222.0,2021
전체,감축,에너지저장,2189995.0,2021
전체,감축,송배전&전력IT,942999.0,2021
전체,감축,에너지수요,2557652.0,2021
전체,감축,온실가스 고정,36972.0,2021
전체,적응,농업&축산,412071.0,2021
전체,적응,물관리,524277.0,2021
전체,적응,예측･모니터링,217868.0,2021
전체,적응,해양수산연안,87554.0,2021
전체,적응,건강,397752.0,2021
전체,적응,산림육상,60906.0,2021
전체,융복합,감축 및 적응 융복합,384008.0,2021
전체,감축,비재생에너지,9632.0,2021
전체,감축,재생에너지,405324.0,2021
전체,감축,신에너지,166777.0,2021
전체,감축,에너지저장,47935.0,2021
전체,감축,송배전&전력IT,153152.0,2021
전체,감축,에너지수요,310568.0,2021
전체,감축,온실가스 고정,5134.0,2021
전체,적응,농업&축산,102314.0,2021
전체,적응,물관리,166275.0,2021
전체,적응,예측･모니터링,11084.0,2021
전체,적응,해양수산연안,919.0,2021
전체,적응,건강,34631.0,2021
전체,적응,산림육상,2499.0,2021
전체,융복합,감축 및 적응 융복합,73920.0,2021
전체,감축,비재생에너지,4861.0,2021
전체,감축,재생에너지,123178.0,2021
전체,감축,신에너지,72825.0,2021
전체,감축,에너지저장,78495.0,2021
전체,감축,송배전&전력IT,147553.0,2021
전체,감축,에너지수요,174955.0,2021
전체,감축,온실가스 고정,8871.0,2021
전체,적응,농업&축산,21673.0,2021
전체,적응,물관리,86507.0,2021
전체,적응,예측･모니터링,0.0,2021
전체,적응,해양수산연안,9553.0,2021
전체,적응,건강,75093.0,2021
전체,적응,산림육상,9664.0,2021
전체,융복합,감축 및 적응 융복합,13232.0,2021
전체,감축,비재생에너지,14027.0,2021
전체,감축,재생에너지,101308.0,2021
전체,감축,신에너지,30377.0,2021
전체,감축,에너지저장,20451.0,2021
전체,감축,송배전&전력IT,79786.0,2021
전체,감축,에너지수요,106966.0,2021
전체,감축,온실가스 고정,1984.0,2021
전체,적응,농업&축산,5693.0,2021
전체,적응,물관리,33610.0,2021
전체,적응,예측･모니터링,2572.0,2021
전체,적응,해양수산연안,0.0,2021
전체,적응,건강,30000.0,2021
전체,적응,산림육상,5374.0,2021
전체,융복합,감축 및 적응 융복합,11744.0,2021
전체,감축,비재생에너지,15112.0,2021
전체,감축,재생에너지,96484.0,2021
전체,감축,신에너지,6153.0,2021
전체,감축,에너지저장,24169.0,2021
전체,감축,송배전&전력IT,117507.0,2021
전체,감축,에너지수요,86814.0,2021
전체,감축,온실가스 고정,12543.0,2021
전체,적응,농업&축산,13222.0,2021
전체,적응,물관리,31652.0,2021
전체,적응,예측･모니터링,0.0,2021
전체,적응,해양수산연안,105.0,2021
전체,적응,건강,14381.0,2021
전체,적응,산림육상,9691.0,2021
전체,융복합,감축 및 적응 융복합,7799.0,2021
전체,감축,비재생에너지,6643.0,2021
전체,감축,재생에너지,452608.0,2021
전체,감축,신에너지,143923.0,2021
전체,감축,에너지저장,1860227.0,2021
전체,감축,송배전&전력IT,402659.0,2021
전체,감축,에너지수요,1317428.0,2021
전체,감축,온실가스 고정,6841.0,2021
전체,적응,농업&축산,63442.0,2021
전체,적응,물관리,198415.0,2021
전체,적응,건강,127581.0,2021
전체,융복합,감축 및 적응 융복합,39754.0,2021
전체,감축,비재생에너지,408008.0,2021
전체,감축,재생에너지,808375.0,2021
전체,감축,신에너지,8167.0,2021
전체,감축,에너지저장,158719.0,2021
전체,감축,송배전&전력IT,42343.0,2021
전체,감축,에너지수요,560920.0,2021
전체,감축,온실가스 고정,1600.0,2021
전체,적응,농업&축산,205727.0,2021
전체,적응,물관리,7818.0,2021
전체,적응,예측･모니터링,204213.0,2021
전체,적응,해양수산연안,76977.0,2021
전체,적응,건강,116068.0,2021
전체,적응,산림육상,33678.0,2021
전체,융복합,감축 및 적응 융복합,237557.0,2021
